Oasis,oasis.jpg,10,9,10,10,10
Blur,blur.jpg,9,10,9,9,9
Pulp ,pulp.jpg,8,9,8,8,10
The Verve,verve.jpg,10,9,9,8,8
Radiohead,radiohead.jpg,10,9,7,8,7
Primal Scream,primal.jpg,8,8,7,7,6
Supergrass,supergrass.jpg,7,9,8,7,6
Ocean Colour Scene,ocean.jpg,8,8,7,6,6
Stereophonics,stereo.jpg,9,8,9,7,7
Cast,cast.jpg,6,7,7,6,6
Suede,suede.jpg,6,6,6,5,6
Texas,texas.jpg,7,7,6,7,8
Manic Street Preachers,manic.jpg,6,7,6,5,7
Embrace,embrace.jpg,5,7,5,4,6
Skunk Anasie,skunk.jpg,7,8,7,5,5
Catatonia,catatonia.jpg,5,7,4,5,6
James,james.jpg,6,7,5,6,7
Travis,travis.jpg,8,7,5,4,6
Kula Shaker,kula.jpg,6,8,7,5,5
Space,space.jpg,6,7,7,5,4
Shed Seven,shed.jpg,4,5,7,4,4
Ash,ash.jpg,7,6,5,6,3
The La's,las.jpg,5,8,7,7,3
Elastica,elastica.jpg,7,6,8,3,3
The Charlatans,charlatans.jpg,7,7,7,3,2
The Sea Horses,seahorses.jpg,6,8,5,4,1
The Boo Radleys,boorad.jpg,3,7,5,6,2
Cornershop,cornershop.jpg,2,7,3,7,3
Dodgy,dodgy.jpg,2,8,5,7,1
Doves,doves.jpg,5,6,7,2,2
